基金代码,基金简称,总股票持仓市值_万,股票简称,占净值比例,持股数_万,持仓市值_万,持仓市值_亿
014143,银河创新成长混合C,1306623.65,中芯国际,9.94,1185.0,166054.05,16.6054
014143,银河创新成长混合C,1306623.65,兆易创新,9.3,729.0,155495.7,15.5496
014143,银河创新成长混合C,1306623.65,海光信息,9.29,615.0,155349.0,15.5349
014143,银河创新成长混合C,1306623.65,寒武纪,8.72,110.0,145750.0,14.575
014143,银河创新成长混合C,1306623.65,中微公司,8.05,450.0,134545.5,13.4546
014143,银河创新成长混合C,1306623.65,翱捷科技,7.94,1200.49,132653.85,13.2654
014143,银河创新成长混合C,1306623.65,思瑞浦,6.43,620.0,107470.8,10.7471
014143,银河创新成长混合C,1306623.65,华虹公司,6.37,930.0,106540.8,10.6541
014143,银河创新成长混合C,1306623.65,中科曙光,6.21,870.0,103747.5,10.3748
014143,银河创新成长混合C,1306623.65,瑞芯微,5.92,439.0,99016.45,9.9016
018957,中航机遇领航混合发起C,1022008.42,英维克,9.75,1612.67,128981.64,12.8982
018957,中航机遇领航混合发起C,1022008.42,新易盛,9.71,351.4,128531.29,12.8531
018957,中航机遇领航混合发起C,1022008.42,中际旭创,9.52,312.16,126013.72,12.6014
018957,中航机遇领航混合发起C,1022008.42,胜宏科技,9.18,425.26,121411.73,12.1412
018957,中航机遇领航混合发起C,1022008.42,源杰科技,9.05,279.07,119719.79,11.972
018957,中航机遇领航混合发起C,1022008.42,天孚通信,8.85,697.58,117054.26,11.7054
018957,中航机遇领航混合发起C,1022008.42,沪电股份,5.52,993.64,73002.67,7.3003
018957,中航机遇领航混合发起C,1022008.42,光库科技,5.45,606.69,72074.32,7.2074
018957,中航机遇领航混合发起C,1022008.42,德科立,5.16,564.45,68310.17,6.831
018957,中航机遇领航混合发起C,1022008.42,东山精密,5.06,935.79,66908.83,6.6909
015751,景顺长城品质长青混合C,982368.79,泡泡玛特,8.12,475.14,115736.06,11.5736
015751,景顺长城品质长青混合C,982368.79,工业富联,7.62,1644.25,108536.98,10.8537
015751,景顺长城品质长青混合C,982368.79,小米集团-W,7.59,2193.36,108134.67,10.8135
015751,景顺长城品质长青混合C,982368.79,新易盛,7.5,292.19,106873.28,10.6873
015751,景顺长城品质长青混合C,982368.79,水晶光电,7.29,3928.99,103882.62,10.3883
015751,景顺长城品质长青混合C,982368.79,腾讯控股,6.74,158.59,95995.44,9.5995
015751,景顺长城品质长青混合C,982368.79,九号公司,6.18,1321.64,88093.54,8.8094
015751,景顺长城品质长青混合C,982368.79,老铺黄金,6.02,131.91,85747.01,8.5747
015751,景顺长城品质长青混合C,982368.79,高伟电子,5.97,2387.0,84992.05,8.4992
015751,景顺长城品质长青混合C,982368.79,蓝思科技,5.92,2520.23,84377.14,8.4377
005491,兴全合宜混合(LOF)C,914509.44,信达生物,7.54,1600.13,140829.48,14.0829
005491,兴全合宜混合(LOF)C,914509.44,中际旭创,5.58,258.01,104153.88,10.4154
005491,兴全合宜混合(LOF)C,914509.44,巨化股份,5.4,2522.52,100926.01,10.0926
005491,兴全合宜混合(LOF)C,914509.44,晶晨股份,5.33,896.14,99632.34,9.9632
005491,兴全合宜混合(LOF)C,914509.44,立讯精密,5.08,1467.79,94951.48,9.4951
005491,兴全合宜混合(LOF)C,914509.44,中芯国际,4.71,1211.42,87982.11,8.7982
005491,兴全合宜混合(LOF)C,914509.44,诺诚健华,4.37,4779.1,81679.53,8.168
005491,兴全合宜混合(LOF)C,914509.44,澜起科技,4.07,491.55,76091.35,7.6091
005491,兴全合宜混合(LOF)C,914509.44,东山精密,3.5,913.58,65320.99,6.5321
005491,兴全合宜混合(LOF)C,914509.44,宁德时代,3.37,156.57,62942.27,6.2942
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,英伟达,9.9,85.29,113075.64,11.3076
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,微软,8.06,25.01,92057.4,9.2057
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,特斯拉,7.91,28.58,90313.18,9.0313
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,苹果,7.85,49.53,89608.07,8.9608
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,博通,6.87,33.48,78471.51,7.8472
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,谷歌-C,5.98,39.46,68294.9,6.8295
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,迈威尔科技,5.68,108.68,64923.23,6.4923
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,奈飞,5.54,7.42,63230.88,6.3231
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,Meta Platforms Inc-A,5.51,12.06,62920.3,6.292
017437,华宝纳斯达克精选股票发起式(QDII)C,785776.36,亚马逊,5.51,40.3,62881.25,6.2881
018994,中欧数字经济混合发起C,731240.14,新易盛,9.41,335.13,122579.04,12.2579
018994,中欧数字经济混合发起C,731240.14,阿里巴巴-W,8.99,724.57,117090.51,11.7091
018994,中欧数字经济混合发起C,731240.14,中际旭创,8.63,278.48,112416.81,11.2417
018994,中欧数字经济混合发起C,731240.14,天孚通信,5.06,392.59,65877.22,6.5877
018994,中欧数字经济混合发起C,731240.14,新泉股份,5.04,790.4,65635.19,6.5635
018994,中欧数字经济混合发起C,731240.14,三花智控,4.4,1184.24,57352.91,5.7353
018994,中欧数字经济混合发起C,731240.14,腾讯控股,4.24,91.31,55270.86,5.5271
018994,中欧数字经济混合发起C,731240.14,中芯国际,3.52,631.95,45898.53,4.5899
018994,中欧数字经济混合发起C,731240.14,沪电股份,3.45,611.41,44920.24,4.492
018994,中欧数字经济混合发起C,731240.14,生益科技,3.39,818.19,44198.83,4.4199
004815,中欧红利优享混合C,694821.27,紫金矿业,8.41,4809.77,141599.71,14.16
004815,中欧红利优享混合C,694821.27,新华保险,5.28,2109.39,88889.69,8.889
004815,中欧红利优享混合C,694821.27,中国人寿,5.05,4217.8,85115.2,8.5115
004815,中欧红利优享混合C,694821.27,中国平安,4.78,1660.95,80439.81,8.044
004815,中欧红利优享混合C,694821.27,徐工机械,3.71,5431.77,62465.33,6.2465
004815,中欧红利优享混合C,694821.27,三一重工,3.15,2283.54,53069.48,5.3069
004815,中欧红利优享混合C,694821.27,中国黄金国际,3.06,406.48,51509.15,5.1509
004815,中欧红利优享混合C,694821.27,中国重汽,2.76,2696.39,46404.94,4.6405
004815,中欧红利优享混合C,694821.27,新华保险,2.6,715.93,43786.28,4.3786
004815,中欧红利优享混合C,694821.27,中国海洋石油,2.47,2390.2,41541.68,4.1542
015686,富国新兴产业股票C,614491.1,新易盛,9.42,254.02,92914.36,9.2914
015686,富国新兴产业股票C,614491.1,寒武纪,9.01,67.05,88841.65,8.8842
015686,富国新兴产业股票C,614491.1,中际旭创,8.72,212.95,85965.27,8.5965
015686,富国新兴产业股票C,614491.1,兆易创新,8.48,392.2,83656.52,8.3657
015686,富国新兴产业股票C,614491.1,沪电股份,7.49,1004.73,73817.62,7.3818
015686,富国新兴产业股票C,614491.1,深南电路,5.76,262.05,56770.73,5.6771
015686,富国新兴产业股票C,614491.1,南芯科技,3.51,670.24,34577.61,3.4578
015686,富国新兴产业股票C,614491.1,龙迅股份,3.34,442.44,32891.33,3.2891
015686,富国新兴产业股票C,614491.1,瑞芯微,3.31,144.77,32653.93,3.2654
015686,富国新兴产业股票C,614491.1,东山精密,3.29,453.18,32402.08,3.2402
015968,永赢半导体产业智选混合发起C,605234.58,中芯国际,9.85,1280.0,92963.28,9.2963
015968,永赢半导体产业智选混合发起C,605234.58,北方华创,8.63,180.0,81424.8,8.1425
015968,永赢半导体产业智选混合发起C,605234.58,中科飞测,7.38,600.0,69618.0,6.9618
015968,永赢半导体产业智选混合发起C,605234.58,汇成真空,7.34,400.0,69252.0,6.9252
015968,永赢半导体产业智选混合发起C,605234.58,茂莱光学,6.98,150.0,65850.0,6.585
015968,永赢半导体产业智选混合发起C,605234.58,奥普光电,5.8,950.0,54767.5,5.4768
015968,永赢半导体产业智选混合发起C,605234.58,福晶科技,5.27,1000.0,49700.0,4.97
015968,永赢半导体产业智选混合发起C,605234.58,芯源微,4.74,300.0,44700.0,4.47
015968,永赢半导体产业智选混合发起C,605234.58,华海清科,4.38,250.0,41300.0,4.13
015968,永赢半导体产业智选混合发起C,605234.58,燕东微,3.78,1300.0,35659.0,3.5659
014642,摩根新兴动力混合C,597114.39,宁德时代,9.48,227.31,91378.74,9.1379
014642,摩根新兴动力混合C,597114.39,东山精密,8.33,1123.7,80344.6,8.0345
014642,摩根新兴动力混合C,597114.39,胜宏科技,8.28,279.67,79846.84,7.9847
014642,摩根新兴动力混合C,597114.39,亿纬锂能,7.97,844.82,76878.43,7.6878
014642,摩根新兴动力混合C,597114.39,新易盛,7.94,209.4,76592.13,7.6592
014642,摩根新兴动力混合C,597114.39,中际旭创,7.47,178.54,72074.88,7.2075
014642,摩根新兴动力混合C,597114.39,华友钴业,3.36,492.11,32430.27,3.243
014642,摩根新兴动力混合C,597114.39,徐工机械,3.17,2654.76,30529.74,3.053
014642,摩根新兴动力混合C,597114.39,洛阳钼业,3.04,1869.04,29343.91,2.9344
014642,摩根新兴动力混合C,597114.39,艾力斯,2.87,251.22,27694.85,2.7695
002170,东吴移动互联混合C,583952.55,豪威集团,9.28,490.97,74220.66,7.4221
002170,东吴移动互联混合C,583952.55,立讯精密,9.22,1140.0,73746.6,7.3747
002170,东吴移动互联混合C,583952.55,新易盛,8.74,191.0,69862.07,6.9862
002170,东吴移动互联混合C,583952.55,德赛西威,8.67,458.5,69338.96,6.9339
002170,东吴移动互联混合C,583952.55,中际旭创,8.08,160.11,64633.2,6.4633
002170,东吴移动互联混合C,583952.55,兆易创新,7.36,276.0,58870.8,5.8871
002170,东吴移动互联混合C,583952.55,歌尔股份,6.33,1350.0,50625.0,5.0625
002170,东吴移动互联混合C,583952.55,拓普集团,5.93,585.5,47419.86,4.742
002170,东吴移动互联混合C,583952.55,瑞芯微,5.08,180.0,40599.0,4.0599
002170,东吴移动互联混合C,583952.55,水晶光电,4.33,1310.0,34636.4,3.4636
002112,德邦鑫星价值灵活配置混合C,568835.6,胜宏科技,9.69,304.97,87068.94,8.7069
002112,德邦鑫星价值灵活配置混合C,568835.6,新易盛,9.59,235.6,86175.41,8.6175
002112,德邦鑫星价值灵活配置混合C,568835.6,中际旭创,9.3,206.93,83533.5,8.3534
002112,德邦鑫星价值灵活配置混合C,568835.6,工业富联,7.09,964.66,63677.21,6.3677
002112,德邦鑫星价值灵活配置混合C,568835.6,天孚通信,5.09,272.61,45743.96,4.5744
002112,德邦鑫星价值灵活配置混合C,568835.6,东山精密,4.99,627.34,44854.81,4.4855
002112,德邦鑫星价值灵活配置混合C,568835.6,沪电股份,4.85,593.64,43614.69,4.3615
002112,德邦鑫星价值灵活配置混合C,568835.6,麦格米特,4.36,505.72,39178.13,3.9178
002112,德邦鑫星价值灵活配置混合C,568835.6,长飞光纤,4.19,373.23,37636.92,3.7637
002112,德邦鑫星价值灵活配置混合C,568835.6,长芯博创,4.16,351.48,37352.03,3.7352
017811,东方人工智能主题混合C,472052.58,中微公司,9.19,166.75,49855.95,4.9856
017811,东方人工智能主题混合C,472052.58,北方华创,9.14,109.65,49602.09,4.9602
017811,东方人工智能主题混合C,472052.58,芯源微,9.11,331.59,49406.64,4.9407
017811,东方人工智能主题混合C,472052.58,拓荆科技,9.1,189.84,49392.99,4.9393
017811,东方人工智能主题混合C,472052.58,华海清科,9.06,297.59,49161.46,4.9161
017811,东方人工智能主题混合C,472052.58,中科飞测,8.79,411.17,47708.4,4.7708
017811,东方人工智能主题混合C,472052.58,盛美上海,8.46,227.48,45906.21,4.5906
017811,东方人工智能主题混合C,472052.58,京仪装备,8.31,447.24,45090.57,4.5091
017811,东方人工智能主题混合C,472052.58,富创精密,8.03,586.72,43581.44,4.3581
017811,东方人工智能主题混合C,472052.58,精测电子,7.81,539.31,42346.83,4.2347
007356,汇添富科技创新混合C,457671.18,阿里巴巴-W,8.09,495.97,80147.49,8.0147
007356,汇添富科技创新混合C,457671.18,新易盛,6.86,185.86,67983.33,6.7983
007356,汇添富科技创新混合C,457671.18,沪电股份,6.18,833.31,61223.23,6.1223
007356,汇添富科技创新混合C,457671.18,工业富联,6.03,905.74,59787.63,5.9788
007356,汇添富科技创新混合C,457671.18,中际旭创,4.31,105.94,42765.86,4.2766
007356,汇添富科技创新混合C,457671.18,腾讯控股,4.25,69.63,42147.44,4.2147
007356,汇添富科技创新混合C,457671.18,深南电路,3.47,158.72,34384.75,3.4385
007356,汇添富科技创新混合C,457671.18,杰华特,2.44,417.22,24219.9,2.422
007356,汇添富科技创新混合C,457671.18,兴森科技,2.35,1050.81,23243.92,2.3244
007356,汇添富科技创新混合C,457671.18,寒武纪,2.2,16.43,21767.63,2.1768
004241,中欧时代先锋股票C,456812.65,紫金矿业,5.17,2153.48,63398.45,6.3398
004241,中欧时代先锋股票C,456812.65,宁德时代,4.68,142.5,57285.0,5.7285
004241,中欧时代先锋股票C,456812.65,立讯精密,4.38,830.0,53693.0,5.3693
004241,中欧时代先锋股票C,456812.65,万华化学,4.37,803.98,53529.29,5.3529
004241,中欧时代先锋股票C,456812.65,三一重工,3.73,1966.57,45703.09,4.5703
004241,中欧时代先锋股票C,456812.65,三花智控,3.45,872.54,42257.17,4.2257
004241,中欧时代先锋股票C,456812.65,工业富联,3.05,565.94,37357.88,3.7358
004241,中欧时代先锋股票C,456812.65,兴业银锡,3.04,1131.13,37202.77,3.7203
004241,中欧时代先锋股票C,456812.65,江山股份,2.77,1300.01,33930.13,3.393
004241,中欧时代先锋股票C,456812.65,中际旭创,2.65,80.4,32455.87,3.2456
013841,银华集成电路混合C,451667.15,拓荆科技,9.69,209.32,53426.22,5.3426
013841,银华集成电路混合C,451667.15,华海清科,9.64,321.9,53178.14,5.3178
013841,银华集成电路混合C,451667.15,中微公司,9.56,176.21,52683.71,5.2684
013841,银华集成电路混合C,451667.15,芯源微,9.46,350.17,52174.63,5.2175
013841,银华集成电路混合C,451667.15,富创精密,9.43,700.0,51996.0,5.1996
013841,银华集成电路混合C,451667.15,北方华创,9.01,109.85,49691.75,4.9692
013841,银华集成电路混合C,451667.15,精测电子,7.75,544.19,42729.96,4.273
013841,银华集成电路混合C,451667.15,中科飞测,7.59,360.85,41869.21,4.1869
013841,银华集成电路混合C,451667.15,中芯国际,5.93,450.0,32682.4,3.2682
013841,银华集成电路混合C,451667.15,华虹公司,3.85,185.36,21235.13,2.1235
004237,中欧新蓝筹混合C,434075.62,新易盛,9.52,242.54,88713.12,8.8713
004237,中欧新蓝筹混合C,434075.62,中际旭创,9.32,215.05,86811.38,8.6811
004237,中欧新蓝筹混合C,434075.62,万华化学,5.18,725.28,48289.0,4.8289
004237,中欧新蓝筹混合C,434075.62,三一重工,3.73,1493.75,34714.84,3.4715
004237,中欧新蓝筹混合C,434075.62,工业富联,3.68,519.89,34318.11,3.4318
004237,中欧新蓝筹混合C,434075.62,兴业银锡,3.36,950.87,31273.96,3.1274
004237,中欧新蓝筹混合C,434075.62,三花智控,3.31,637.32,30865.2,3.0865
004237,中欧新蓝筹混合C,434075.62,天孚通信,3.31,183.7,30824.52,3.0825
004237,中欧新蓝筹混合C,434075.62,牧原股份,2.62,460.97,24431.34,2.4431
004237,中欧新蓝筹混合C,434075.62,新泉股份,2.56,287.02,23834.15,2.3834
011117,富国沪港深业绩驱动混合型C,414786.98,腾讯控股,8.98,116.7,70637.38,7.0637
011117,富国沪港深业绩驱动混合型C,414786.98,阿里巴巴-W,7.92,385.27,62259.13,6.2259
011117,富国沪港深业绩驱动混合型C,414786.98,泡泡玛特,7.13,230.05,56036.55,5.6037
011117,富国沪港深业绩驱动混合型C,414786.98,紫金矿业,6.09,1627.74,47920.52,4.7921
011117,富国沪港深业绩驱动混合型C,414786.98,网易云音乐,4.09,135.68,32180.87,3.2181
011117,富国沪港深业绩驱动混合型C,414786.98,巨子生物,4.07,619.88,31973.41,3.1973
011117,富国沪港深业绩驱动混合型C,414786.98,紫金矿业,3.76,992.4,29533.82,2.9534
011117,富国沪港深业绩驱动混合型C,414786.98,山东黄金,3.64,849.2,28643.52,2.8644
011117,富国沪港深业绩驱动混合型C,414786.98,洛阳钼业,3.59,1972.3,28243.34,2.8243
011117,富国沪港深业绩驱动混合型C,414786.98,招金矿业,3.48,958.6,27358.44,2.7358
007491,南方信息创新混合C,395959.6,华海清科,9.61,283.91,46901.25,4.6901
007491,南方信息创新混合C,395959.6,中微公司,9.5,155.1,46373.89,4.6374
007491,南方信息创新混合C,395959.6,拓荆科技,9.43,176.98,46045.69,4.6046
007491,南方信息创新混合C,395959.6,芯源微,9.37,306.99,45741.38,4.5741
007491,南方信息创新混合C,395959.6,北方华创,9.23,99.59,45052.66,4.5053
007491,南方信息创新混合C,395959.6,富创精密,9.15,601.22,44658.55,4.4659
007491,南方信息创新混合C,395959.6,精测电子,8.48,526.97,41377.72,4.1378
007491,南方信息创新混合C,395959.6,万业企业,6.31,1400.39,30808.67,3.0809
007491,南方信息创新混合C,395959.6,安集科技,5.07,108.36,24753.83,2.4754
007491,南方信息创新混合C,395959.6,概伦电子,4.97,574.41,24245.96,2.4246
011400,汇添富数字未来混合C,387543.98,阿里巴巴-W,9.46,336.67,54405.02,5.4405
011400,汇添富数字未来混合C,387543.98,工业富联,8.95,778.99,51420.81,5.1421
011400,汇添富数字未来混合C,387543.98,新易盛,8.54,134.2,49087.8,4.9088
011400,汇添富数字未来混合C,387543.98,中际旭创,8.09,115.14,46479.72,4.648
011400,汇添富数字未来混合C,387543.98,中芯国际,7.31,578.25,41996.89,4.1997
011400,汇添富数字未来混合C,387543.98,腾讯控股,6.74,63.97,38721.41,3.8721
011400,汇添富数字未来混合C,387543.98,中微公司,4.9,94.25,28181.09,2.8181
011400,汇添富数字未来混合C,387543.98,沪电股份,4.89,382.58,28108.15,2.8108
011400,汇添富数字未来混合C,387543.98,北方华创,4.41,56.06,25358.08,2.5358
011400,汇添富数字未来混合C,387543.98,胜宏科技,4.14,83.31,23785.01,2.3785
011329,景顺长城新能源产业股票C,378346.91,爱旭股份,7.48,3037.59,49733.35,4.9733
011329,景顺长城新能源产业股票C,378346.91,九号公司,6.75,673.21,44843.03,4.4843
011329,景顺长城新能源产业股票C,378346.91,宁德时代,6.68,110.44,44397.84,4.4398
011329,景顺长城新能源产业股票C,378346.91,睿创微纳,6.37,478.99,42361.72,4.2362
011329,景顺长城新能源产业股票C,378346.91,帝尔激光,5.78,526.69,38401.26,3.8401
011329,景顺长城新能源产业股票C,378346.91,欣旺达,5.62,1105.91,37368.67,3.7369
011329,景顺长城新能源产业股票C,378346.91,地平线机器人-W,4.98,3781.14,33071.17,3.3071
011329,景顺长城新能源产业股票C,378346.91,奕瑞科技,4.66,268.01,30965.31,3.0965
011329,景顺长城新能源产业股票C,378346.91,云路股份,4.41,268.81,29278.56,2.9279
011329,景顺长城新能源产业股票C,378346.91,思特威,4.2,234.36,27926.0,2.7926
016371,信澳业绩驱动混合C,367308.37,沪电股份,9.85,601.57,44197.37,4.4197
016371,信澳业绩驱动混合C,367308.37,胜宏科技,9.8,154.0,43966.89,4.3967
016371,信澳业绩驱动混合C,367308.37,工业富联,9.69,658.75,43484.4,4.3484
016371,信澳业绩驱动混合C,367308.37,新易盛,9.57,117.43,42953.1,4.2953
016371,信澳业绩驱动混合C,367308.37,天孚通信,9.55,255.38,42851.94,4.2852
016371,信澳业绩驱动混合C,367308.37,中际旭创,9.51,105.69,42666.68,4.2667
016371,信澳业绩驱动混合C,367308.37,宏和科技,6.58,846.69,29524.08,2.9524
016371,信澳业绩驱动混合C,367308.37,铜冠铜箔,6.53,937.8,29287.5,2.9288
016371,信澳业绩驱动混合C,367308.37,麦格米特,5.54,321.13,24878.28,2.4878
016371,信澳业绩驱动混合C,367308.37,长芯博创,5.24,229.33,23498.13,2.3498
010214,中欧互联网先锋混合C,365781.15,阿里巴巴-W,10.51,431.28,69694.85,6.9695
010214,中欧互联网先锋混合C,365781.15,腾讯控股,9.12,99.86,60448.68,6.0449
010214,中欧互联网先锋混合C,365781.15,吉比特,5.72,66.72,37898.1,3.7898
010214,中欧互联网先锋混合C,365781.15,立讯精密,5.07,519.86,33629.74,3.363
010214,中欧互联网先锋混合C,365781.15,哔哩哔哩-W,4.84,156.53,32098.45,3.2098
010214,中欧互联网先锋混合C,365781.15,兆易创新,4.56,141.72,30228.92,3.0229
010214,中欧互联网先锋混合C,365781.15,中芯国际,4.18,381.25,27690.19,2.769
010214,中欧互联网先锋混合C,365781.15,达梦数据,3.96,99.51,26223.26,2.6223
010214,中欧互联网先锋混合C,365781.15,科沃斯,3.89,239.85,25783.55,2.5784
010214,中欧互联网先锋混合C,365781.15,小米集团-W,3.33,447.98,22085.41,2.2085
004235,中欧价值智选混合C,337900.5,牧原股份,10.07,1142.46,60550.26,6.055
004235,中欧价值智选混合C,337900.5,三一重工,8.09,2093.86,48661.41,4.8661
004235,中欧价值智选混合C,337900.5,山东黄金,7.43,1136.48,44697.81,4.4698
004235,中欧价值智选混合C,337900.5,美的集团,7.35,607.84,44165.9,4.4166
004235,中欧价值智选混合C,337900.5,宁德时代,6.46,96.68,38864.8,3.8865
004235,中欧价值智选混合C,337900.5,紫金矿业,4.93,1006.8,29640.13,2.964
004235,中欧价值智选混合C,337900.5,徐工机械,3.94,2060.17,23691.98,2.3692
004235,中欧价值智选混合C,337900.5,嘉友国际,3.53,1482.56,21200.67,2.1201
004235,中欧价值智选混合C,337900.5,新乳业,2.27,798.37,13628.18,1.3628
004235,中欧价值智选混合C,337900.5,九号公司,2.13,191.32,12799.36,1.2799
007509,华商润丰灵活配置混合C,323282.07,中际旭创,5.61,190.26,76804.16,7.6804
007509,华商润丰灵活配置混合C,323282.07,新易盛,5.05,188.94,69106.86,6.9107
007509,华商润丰灵活配置混合C,323282.07,胜宏科技,3.06,146.86,41929.53,4.193
007509,华商润丰灵活配置混合C,323282.07,天孚通信,2.62,213.52,35828.29,3.5828
007509,华商润丰灵活配置混合C,323282.07,三花智控,1.41,398.36,19292.8,1.9293
007509,华商润丰灵活配置混合C,323282.07,巨人网络,1.41,425.88,19241.34,1.9241
007509,华商润丰灵活配置混合C,323282.07,汉威科技,1.2,259.56,16500.05,1.65
007509,华商润丰灵活配置混合C,323282.07,恺英网络,1.13,549.84,15439.51,1.544
007509,华商润丰灵活配置混合C,323282.07,拓普集团,1.1,186.72,15122.34,1.5122
