基金代码,基金名称,单位净值,日增长率,近1月收益,近3月收益,近1年收益,更新时间
021031,汇添富国证港股通创新药ETF发起式联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
020662,中加科技创新混合发起式C,0.0,0.0,0.0,0.0,0.0,2025-11-01
020398,中银港股通医药混合发起C,0.0,0.0,0.0,0.0,0.0,2025-11-01
020635,汇添富恒生生物科技ETF发起式联接(QDII)C,0.0,0.0,0.0,0.0,0.0,2025-11-01
021500,景顺长城优质成长股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
018957,中航机遇领航混合发起C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015290,格林高股息优选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015389,宝盈转型动力混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
019514,交银荣鑫灵活配置混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015857,格林碳中和主题混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
018994,中欧数字经济混合发起C,0.0,0.0,0.0,0.0,0.0,2025-11-01
017437,华宝纳斯达克精选股票发起式(QDII)C,0.0,0.0,0.0,0.0,0.0,2025-11-01
019548,招商纳斯达克100ETF发起式联接(QDII)C,0.0,0.0,0.0,0.0,0.0,2025-11-01
017811,东方人工智能主题混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
016600,万家品质生活混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
016465,兴证全球合瑞混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
016616,国泰估值优势混合(LOF)C,0.0,0.0,0.0,0.0,0.0,2025-11-01
519022,国泰金泰灵活配置混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
160424,华安创业板50ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
016283,华泰柏瑞积极优选股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
016371,信澳业绩驱动混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
016238,华夏数字经济龙头混合发起式C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008888,华夏国证半导体芯片ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015868,国泰海通中证1000指数增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
016049,华商甄选回报混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015971,华泰柏瑞景气驱动混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015877,富国中证消费电子主题ETF发起式联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015947,兴业研究精选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015968,永赢半导体产业智选混合发起C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015690,富国中小盘精选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
016068,鹏华新能源汽车混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015751,景顺长城品质长青混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015686,富国新兴产业股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
014985,华安创业板50指数C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015508,兴业中证500指数增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015454,中欧中证500指数增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015683,景顺长城科技创新混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015039,长信金利趋势混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015144,中欧智能制造混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015642,银华数字经济股票发起式C,0.0,0.0,0.0,0.0,0.0,2025-11-01
015152,东吴嘉禾优势精选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
014855,嘉实中证半导体指数增强发起式C,0.0,0.0,0.0,0.0,0.0,2025-11-01
014954,信澳研究优选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
014662,天弘上海金ETF发起联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
014728,易方达成长动力混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
014544,汇添富中证沪港深云计算产业ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
014162,万家人工智能混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
014377,东吴新能源汽车股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
014156,国泰海通中证500指数增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
014642,摩根新兴动力混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
014345,鹏华中证500指数增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
014320,德邦半导体产业混合发起式C,0.0,0.0,0.0,0.0,0.0,2025-11-01
014243,富国新材料新能源混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
013811,广发科创板50ETF发起联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
014130,融通中证云计算与大数据主题指数(LOF)C,0.0,0.0,0.0,0.0,0.0,2025-11-01
013620,华安媒体互联网混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
013841,银华集成电路混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
013533,广发科技创新混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
013466,博时智选量化多因子股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
013340,创金合信芯片产业股票发起C,0.0,0.0,0.0,0.0,0.0,2025-11-01
013311,华夏科创创业50ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
013010,万家港股通精选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
013642,博道成长智航股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
013277,富国创业板ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
014143,银河创新成长混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
012908,鹏扬中证科创创业50ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
012922,易方达全球成长精选混合(QDII)人民币C,0.0,0.0,0.0,0.0,0.0,2025-11-01
012970,鹏华国证半导体芯片ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
012895,天弘中证科创创业50ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
013305,易方达中证科创创业50联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
012125,博道盛彦混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
012429,华夏核心制造混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
012734,易方达中证人工智能主题ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
012553,天弘芯片产业ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
012651,博时半导体主题混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011840,天弘中证人工智能C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011823,易方达产业升级混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011892,易方达先锋成长混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
012630,广发国证半导体芯片ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011613,华夏科创50ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011615,工银科创ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011452,华泰柏瑞质量成长C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011584,大成港股精选混合(QDII)C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011499,富国沪深300基本面精选股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011412,易方达远见成长混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011609,易方达上证科创50联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011329,景顺长城新能源产业股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011400,汇添富数字未来混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011306,富国低碳新经济混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011370,华商均衡成长混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011120,富国创新科技混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011237,摩根行业睿选股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010791,海富通均衡甄选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011036,嘉实中证稀土产业ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011301,易方达智造优势混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011068,华宝资源优选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011117,富国沪港深业绩驱动混合型C,0.0,0.0,0.0,0.0,0.0,2025-11-01
011145,华安汇宏精选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010827,大成产业趋势混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010236,广发电子信息传媒股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010214,中欧互联网先锋混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010392,易方达战略新兴产业股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010004,景顺长城电子信息产业股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010372,大成成长进取混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010422,海富通消费优选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
009727,招商中证500等权重指数增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010865,泓德卓远混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
009995,嘉实创新先锋混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
009708,工银新兴制造混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
009478,中银上海金ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
010655,天弘医药创新C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008920,永赢科技驱动C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008989,大成科技创新混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008981,中邮科技创新精选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008419,惠升惠泽混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008586,华夏人工智能ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008532,惠升惠民混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
009505,富国上海金ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008327,东财通信C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008987,广发上海金ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
009034,建信上海金ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008282,国泰CES半导体芯片行业ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008187,淳厚信睿混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008319,博道久航混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007950,招商量化精选股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008021,华富中证人工智能产业ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008087,华夏中证5G通信主题ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
008182,方正富邦信泓混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007818,国泰中证全指通信设备ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007509,华商润丰灵活配置混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007029,易方达中证500ETF联接发起式C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007356,汇添富科技创新混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007465,交银创业板50指数C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007491,南方信息创新混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007127,博道远航混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
006888,诺德新生活混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
006503,财通集成电路产业股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007301,国联安中证半导体ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
006594,博道中证500增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
006166,建信中证1000指数增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
005963,宝盈人工智能股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
005919,天弘中证500ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007450,兴全多维价值混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
005633,建信中证500指数增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
006328,易方达中证海外互联网50ETF联接(QDII)C,0.0,0.0,0.0,0.0,0.0,2025-11-01
006249,华夏创业板ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
005763,中欧电子信息产业沪港深股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
005491,兴全合宜混合(LOF)C,0.0,0.0,0.0,0.0,0.0,2025-11-01
005300,万家成长优选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004815,中欧红利优享混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004744,易方达创业板ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004343,南方创业板ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004348,南方中证500ETF联接(LOF)C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004237,中欧新蓝筹混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004433,南方中证申万有色金属ETF发起联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004195,招商中证1000指数增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
003766,广发创业板ETF发起式联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004235,中欧价值智选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
003305,前海开源沪港深核心资源混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004241,中欧时代先锋股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
002207,前海开源金银珠宝混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
002112,德邦鑫星价值灵活配置混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
002170,东吴移动互联混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
001770,前海开源嘉鑫混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
002036,安信优势增长混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
002052,诺安稳健回报混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
001593,天弘创业板ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
001557,天弘中证500指数增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
002096,博时新收益C,0.0,0.0,0.0,0.0,0.0,2025-11-01
001407,景顺长城稳健回报混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
001618,天弘中证电子ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
001301,大成睿景灵活配置混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
