基金代码,日期,最新净值,最大回撤,最大连续下跌,近一周连跌,RSI,当日跌幅,止损退出天数,信号,未来1日收益,未来3日收益,未来5日收益,未来10日收益,未来20日收益
006863,2019-08-16,,0.08136681140268072,3,3,,,,无信号,0.012065097092262726,0.01246755206761254,0.009549753496327577,0.006771808028976802,0.056173156253144146
006863,2019-08-19,,0.08136681140268072,4,4,,,,无信号,-0.018036833855799256,-0.016959247648902824,-0.028812695924764892,0.0006818181818182088,0.012241379310344885
006863,2020-02-06,1.1035,0.1287528382810529,3,3,33.58,-0.0142,,无信号,-0.020165382872677676,0.009558223833257929,0.021338921613049414,0.05417535115541472,0.08625509741730858
006863,2020-02-12,1.1459,0.1287528382810529,3,3,45.32,-0.0135,,无信号,-0.01700715594729031,0.0056824330220787665,-0.010723885155772644,0.0007596648922245939,-0.0022074352037698823
006863,2020-04-07,1.1058,0.17056967281182522,3,3,61.43,-0.0205,,无信号,-0.021963284499909405,-0.018165129318140565,0.004623801772472468,0.006756194610237044,0.04401428829806478
006863,2020-04-20,1.1394,0.14251373626373628,3,3,75.86,-0.0133,,无信号,-0.03307969106547301,-0.028428120063191037,-0.037643496577145906,-0.0026303317535545686,0.009305774969282064
006863,2021-03-12,1.8366,0.13825775887073385,3,3,31.2,-0.0032,,无信号,-0.03672492649460963,0.001879015572253031,-0.008466187520418157,-0.003257650005444794,-0.05482032015681145
006863,2021-03-18,1.8921,0.13825775887073385,3,3,45.17,-0.0131,,无信号,-0.03799032820675433,-0.041002853971777345,-0.06214338565614923,-0.03221843454362871,-0.0662018392262565
006863,2021-03-30,1.8768,0.13825775887073385,3,3,59.95,-0.0125,,无信号,-0.037538363171355504,-0.02080775788576307,-0.03370204603580569,-0.06062659846547317,-0.042510656436487645
006863,2021-04-29,1.807,0.07906558849955074,3,3,50.39,-0.0003,,无信号,-0.020810736026563338,-0.03370503597122293,-0.05329551743220804,-0.0198865522966242,0.010993359158826866
006863,2021-05-18,1.7801,0.07963985208210507,3,3,45.0,-0.0015,,无信号,-0.018258243918880975,-0.02235913712712775,-0.003820852761080821,0.026346553564406534,-0.01820150553339704
006863,2021-08-04,1.7286,0.09366268022800948,3,3,41.5,-0.0077,,无信号,-0.013264491496008264,0.005710401480967291,0.0100491727409465,-0.00679335878745799,-0.030049172740946373
006863,2021-08-05,1.7316,0.09366268022800948,4,4,43.69,-0.0017,,无信号,-0.021179256179256138,0.003653268653268652,-0.008531993531993604,-0.018109263109263075,-0.034683529683529744
006863,2022-02-08,1.7109,0.07905487468256597,3,3,39.83,-0.0078,,无信号,-0.010440995967035006,-0.004362323923081423,-0.02353352036939632,0.003182827751475838,-0.0951864515751944
006863,2022-02-09,1.7187,0.07905487468256597,4,4,49.11,-0.0046,20.0,无信号,-0.013254494676208695,-0.024251178216093447,-0.017618257985686826,-0.005989119683481593,-0.10500000000000001
006863,2022-02-10,1.7217,0.07905487468256597,5,4,52.88,-0.0017,19.0,无信号,-0.010701922518441032,-0.02975286054481041,-0.023886565603763774,-0.028639426148574062,-0.10500000000000001
006863,2022-02-11,1.7291,0.07905487468256597,6,4,51.94,-0.0043,18.0,无信号,-0.030210224972529055,-0.023617199699265592,-0.011992655138511438,-0.029232259556994995,-0.10500000000000001
006863,2022-03-18,1.5147,0.1960401721664275,3,3,30.18,-0.0155,,无信号,-0.028534033141876254,-0.015066019673862804,-0.04404865649963692,0.0247088532382651,0.02800983693140559
006863,2022-04-01,1.5597,0.1960401721664275,3,3,58.0,-0.0256,,无信号,-0.001984676540360336,-0.006152144643200736,-0.013012438289414707,-0.001794255305507538,-0.03846797461050203
006863,2022-04-06,1.58,0.187836976056583,4,4,76.28,-0.013,,无信号,-0.02816455696202541,-0.033924050632911415,-0.027721518987341775,-0.03094936708860769,-0.053734177215189985
006863,2022-04-28,1.4877,0.0892057283452148,3,3,34.26,-0.0094,,无信号,0.019348322914566056,-0.0016908650937688778,0.0013339382940108814,0.0352634939840022,0.04467399341265045
006863,2022-04-29,1.5388,0.0892057283452148,4,4,48.12,-0.0343,,无信号,-0.002327787886664885,-0.038264881726020314,-0.03066155445801924,-0.002075643358461172,0.005527683909539896
006863,2022-05-05,1.5583,0.0892057283452148,5,4,49.27,-0.0127,,无信号,-0.0475996277995251,-0.04471186549444908,-0.05023070012192771,-0.015139254315600356,-0.011353077071167311
006863,2022-05-17,1.5476,0.0892057283452148,3,3,55.38,-0.0105,,无信号,-0.017778495735332252,-0.0027875420005169828,-0.0398126130783148,0.004046265184802282,0.014061773067976128
006863,2022-07-20,1.5451,0.10369318181818184,3,3,15.51,-0.0008,,无信号,-0.027555821629667895,-0.030079930101611467,-0.02684389359911979,-0.07425118115332341,-0.026746165296744454
006863,2022-08-08,1.4595,0.14885179924242428,3,3,25.54,-0.0001,,无信号,-0.014109284001370279,0.008227132579650593,0.013091812264474083,0.03330078794107576,0.023571428571428618
006863,2022-08-09,1.4608,0.14885179924242428,4,4,25.54,-0.0009,,无信号,-0.013493975903614472,0.01361445783132519,0.014162102957283658,0.024915115005476347,0.03189759036144567
006863,2022-08-10,1.463,0.14885179924242428,5,4,29.79,-0.0015,,无信号,0.005779220779220766,0.010632262474367646,0.01815105946684893,0.0061414900888584955,0.02336637047163354
006863,2022-08-11,1.4934,0.14408998928698963,6,4,42.94,-0.0208,,无信号,-0.008839560733895892,-0.00830387036293022,-0.016272264631043264,0.003370162046337186,0.003236239453595806
006863,2022-08-12,1.5026,0.14342724402882848,7,4,44.79,-0.0062,,无信号,-0.01639757753227738,-0.00907693331558623,-0.021655131106082796,-0.00466724344469575,0.027876347664049058
006863,2022-11-15,1.4777,0.10627189668200869,3,3,67.42,-0.0129,,无信号,-0.024609528321039444,-0.030294038032076843,-0.038279420721391344,0.02538505786018809,0.04304764160519724
006863,2023-03-23,1.56,0.07445714631343373,3,3,29.58,-0.0032,,无信号,-0.025512820512820493,-0.034294871794871805,-0.017564102564102565,0.0060897435897435065,-0.029935897435897536
006863,2023-10-31,1.4889,0.06043352997667723,3,3,61.57,-0.0011,,无信号,-0.018156692860500992,-0.021179058365235995,-0.005328430384847744,-0.010171603196990946,0.008634226610249318
006863,2023-12-29,1.3856,0.10938224193868769,3,3,40.56,-0.0098,16.0,无信号,-0.015072170900692832,-0.02351616628175522,-0.04581697459584293,-0.051766743648960716,-0.10500000000000001
006863,2024-01-25,1.2403,0.14131140445790966,3,3,28.71,-0.0267,4.0,无信号,-0.028141981778601936,-0.08320930420059663,-0.115,-0.10500000000000001,-0.10500000000000001
006863,2024-02-08,1.153,0.2509557815768593,3,3,38.72,-0.0214,,无信号,-0.011530789245446657,0.022640936686903625,0.037124891587163956,0.06395056374674753,0.08294449262792708
006863,2024-02-19,1.157,0.2509557815768593,4,4,45.49,-0.0035,,无信号,-0.004196197061365639,0.024930855661192755,0.040315471045808175,0.068638720829732,0.0890363007778738
006863,2024-02-20,1.1695,0.2509557815768593,5,4,46.94,-0.0108,,无信号,0.008001282599401388,0.022280889268918413,0.04673578452330059,0.04288371098760158,0.06862120564343742
006863,2024-02-21,1.1964,0.24414034066094042,6,4,48.51,-0.023,,无信号,-0.009316282179872834,0.005561685055165647,-0.014665663657639437,0.027932129722500924,0.051419257773320064
006863,2024-02-22,1.2032,0.2393231265108783,7,4,44.94,-0.0057,,无信号,-0.006771941489361685,0.01699800531914892,0.0002925531914893375,0.0023969414893616255,0.0440359042553191
006863,2024-02-23,1.2131,0.22674808250800507,8,4,48.49,-0.0082,,无信号,-0.008487758634902302,-0.028436649905201533,0.0009920863902397672,0.006128513725166799,0.015196191575302914
006863,2024-02-26,1.221,0.21789560894780455,9,4,53.93,-0.0065,,无信号,0.0019533169533169047,-0.014508599508599562,0.002362817362817269,0.02292792792792794,-0.0036076986076987614
006863,2024-02-27,1.2417,0.21789560894780455,10,4,63.41,-0.017,,无信号,-0.05116010308448091,-0.02240919706853515,-0.028046629620681315,0.014006201175807413,-0.02545582668921647
006863,2024-03-04,1.2422,0.21255782209752028,3,3,84.71,-0.0079,,无信号,-0.02844388987280626,-0.039231202704878454,-0.0046151988407662735,0.013998550957977834,0.00160119143455159
006863,2024-03-12,1.2653,0.1627831976134806,3,3,64.38,-0.0081,,无信号,-0.014130640954714392,-0.023614557812376615,-0.02266616612661032,-0.04372599383545416,-0.030290444953765927
006863,2024-03-13,1.2664,0.1627831976134806,4,4,63.52,-0.0009,,无信号,-0.029450410612760568,-0.015473783954516688,-0.016974099810486375,-0.04977258370183194,-0.03421667719519893
006863,2024-04-26,1.2529,0.07781640069521253,3,3,58.71,-0.0182,,无信号,0.0049537073988348106,0.03855575065847248,0.03272926809801267,0.06244353100806132,0.018625189560220346
006863,2024-04-29,1.2779,0.07781640069521253,4,4,57.97,-0.02,,无信号,-0.020790750449957016,0.02467446592065104,0.037664527740824724,0.04703850066515377,-0.005234760153376608
006863,2024-08-30,1.0675,0.10756632261366535,3,3,26.43,-0.0061,,无信号,-0.041510538641686176,-0.04254098360655725,-0.055655737704917926,-0.06944964871194367,0.21336065573770502
006863,2024-09-26,1.0983,0.08762792397660817,3,3,69.93,-0.0482,,无信号,0.039811982154238396,0.16919375398342884,0.11847901302012186,0.08523035600473455,0.11709778748975679
006863,2024-09-27,1.1585,0.08595752471622115,4,4,78.95,-0.0548,,无信号,0.07028269313767803,0.03903539059128182,0.029108761329305066,0.05663141993957696,0.058703064307293794
006863,2024-09-30,1.2573,0.08453286879985326,5,4,89.39,-0.0853,,无信号,0.01943887695856191,-0.024862403563191113,-0.03035035393303117,-0.01716893342877602,-0.01828243060526538
006863,2024-10-08,1.3006,0.08453286879985326,6,4,93.36,-0.0344,,无信号,-0.07612563432262026,-0.08496770721205595,-0.08665923419960014,-0.04044517914808552,-0.02960402890973399
006863,2024-10-22,1.2545,0.07934799323389202,3,3,69.78,-0.0101,,无信号,-0.017630530091669875,-0.019782781984854527,-0.02416699880430438,0.006239537664408132,-0.052110402550817
006863,2024-11-06,1.2696,0.07934799323389202,3,3,68.78,-0.0008,,无信号,0.00603024574669183,-0.010274102079395081,-0.026420919974795176,-0.05296786389413984,-0.048084436042848115
006863,2024-11-07,1.2963,0.07934799323389202,4,4,67.81,-0.021,11.0,无信号,-0.03289709172259516,-0.03806564838386179,-0.07254840700455142,-0.07836264753529273,-0.10500000000000001
006863,2024-11-27,1.194,0.10807683406618847,3,3,26.02,-0.0306,,无信号,-0.026390284757118975,0.0025879396984925737,0.002504187604690237,0.043073701842546164,-0.006088777219430366
006863,2024-12-03,1.2281,0.10807683406618847,3,3,44.09,-0.0108,,无信号,-0.025748310398175947,-0.012068642618679222,-0.0022160247536845146,-0.03887346307303954,-0.04367763211464854
006863,2024-12-09,1.248,0.10807683406618847,3,3,62.45,-0.0132,,无信号,-0.0183653846153846,-0.005144230769230786,-0.05458333333333324,-0.05427884615384606,-0.09730769230769229
006863,2025-01-20,1.1508,0.121875743870507,3,3,38.15,-0.0206,,无信号,-0.013522766770941923,-0.0267309697601669,-0.00700556134862715,0.04175008689607217,0.1130917622523461
006863,2025-01-21,1.1525,0.121875743870507,4,4,41.3,-0.0015,,无信号,-0.02142082429501091,-0.010140997830802752,-0.00901301518438186,0.04949023861171364,0.13747288503253785
006863,2025-02-10,1.2163,0.07512953367875655,3,3,82.54,-0.0179,,无信号,-0.024619337334539214,-0.023303872399901338,0.016653374989722913,0.05863561621310543,0.08140960289402284
006863,2025-04-10,1.1872,0.16641065028161806,3,3,25.08,-0.017,,无信号,-0.0033760107816711293,0.008669137466307288,0.005889487870619891,0.044528301886792424,0.09414083557951475
006863,2025-04-11,1.201,0.16641065028161806,4,4,30.59,-0.0116,,无信号,-0.0006786011656953524,-0.016998334721065742,-0.006590341382181517,0.03221898417985009,0.08783930058284756
006863,2025-04-14,1.2182,0.16641065028161806,5,4,33.16,-0.0143,,无信号,-0.017380561484156874,-0.02008947627647347,-0.015,0.018066819898210486,0.0633795764242326
006863,2025-04-23,1.251,0.16641065028161806,3,3,40.58,-0.0102,,无信号,-0.01899680255795355,-0.01875699440447636,-0.014520383693045438,0.04360111910471638,0.04024380495603534
006863,2025-05-08,1.302,0.1471974855945522,3,3,81.9,-0.0197,,无信号,-0.023294930875576145,-0.012772657450076878,-0.015384024577572921,0.003909370199692823,0.02026881720430102
006863,2025-05-20,1.3176,0.11652066051631917,3,3,77.09,-0.0092,,无信号,-0.008852459016393446,-0.018946569520340083,-0.015379477838494358,0.01822404371584696,-0.007656344869459668
006863,2025-09-17,1.8603,0.08337607568245277,3,3,64.48,-0.0121,,无信号,0.00032010965973228514,0.014726388216954205,0.018381712626995672,0.02693033381712621,-0.05284174595495348
006863,2025-09-18,1.8888,0.08337607568245277,4,4,65.88,-0.0153,,无信号,-0.027388818297331682,0.005383312155866148,0.010095298602287108,-0.020141889030071983,
006863,2025-10-22,1.786,0.12039045553145329,3,3,37.98,-0.0009,,无信号,-0.023230683090705452,,,,
010812,2021-01-22,,0.07435456110154898,3,3,,,,无信号,0.007456617897243906,-0.006493705341953076,-0.04187989111942844,0.0232408982647158,-0.07168935011908818
010812,2021-01-25,,0.07435456110154898,4,4,,,,无信号,-0.039958402662229525,-0.06258735440931773,-0.06358569051580695,0.013302828618968438,-0.07588186356073215
010812,2021-02-09,,0.07435456110154898,3,3,,,6.0,无信号,0.014980657640232101,-0.027250161186331338,-0.08173114119922625,-0.10500000000000001,-0.10500000000000001
010812,2021-02-10,,0.07435456110154898,4,4,,,5.0,无信号,-0.044420970266040645,-0.10326291079812208,-0.115,-0.10500000000000001,-0.10500000000000001
010812,2021-03-12,2.576,0.24350547730829422,3,3,30.25,-0.0078,,无信号,-0.05731366459627329,-0.036350931677018694,-0.05343167701863362,-0.01897515527950312,-0.01781055900621115
010812,2021-03-18,2.558,0.24350547730829422,3,3,39.18,-0.0147,,无信号,-0.04666536356528537,-0.054483971853010155,-0.04862001563721652,0.031747458952306615,0.0012548866301798339
010812,2021-03-29,2.55,0.24350547730829422,3,3,60.74,-0.0039,,无信号,0.008921568627451134,0.025000000000000126,0.028921568627451023,-0.0077450980392155585,0.07735294117647057
010812,2021-03-30,2.611,0.24350547730829422,4,4,60.42,-0.0239,,无信号,-0.026106855610877194,0.00912868632707764,-0.011936039831482188,-0.016872845653006563,0.06125813864419747
010812,2021-08-02,3.392,0.09604190919674042,3,3,50.79,-0.015,,无信号,-0.060106132075471705,-0.006155660377358416,-0.011757075471698077,-0.033301886792452856,0.12530660377358496
010812,2021-08-20,3.405,0.09604190919674042,3,3,50.89,-0.0101,,无信号,0.01436857562408226,0.05607195301027901,0.07369309838472836,0.04404552129221741,0.03171071953010279
010812,2021-08-23,3.505,0.09604190919674042,4,4,69.56,-0.0294,,无信号,0.01010699001426536,0.022660485021398037,0.0788659058487875,0.01411554921540661,-0.002146932952924328
010812,2021-08-24,3.593,0.09604190919674042,5,4,64.55,-0.0251,,无信号,2.9223490119629006e-05,0.01672836070136373,0.05541469524074592,0.014204007792930684,-0.04535624826050654
010812,2021-08-25,3.647,0.09604190919674042,6,4,67.66,-0.015,,无信号,-0.01774197970935009,0.0362750205648479,-0.009241842610364585,-0.015419522895530523,-0.06450095969289818
010812,2021-08-31,3.846,0.09604190919674042,3,3,80.54,-0.0031,15.0,无信号,-0.06128185127405095,-0.08624284971398856,-0.0628419136765471,-0.03958138325533021,-0.10500000000000001
010812,2021-10-15,3.297,0.1843473738949558,3,3,34.36,-0.0154,,无信号,0.008051258720048547,0.022003336366393657,0.016543827722171563,0.04807855626326959,0.03867606915377606
010812,2021-10-18,3.373,0.1843473738949558,4,4,40.73,-0.0231,,无信号,-0.01322116809961465,0.002491847020456482,0.014350726356359249,0.013974206937444295,-0.014487103468722215
010812,2021-10-19,3.379,0.1843473738949558,5,4,41.89,-0.0018,,无信号,-0.003162178159218692,-0.008489197987570345,0.008971589227582115,0.008613495116898438,-0.034002663509914134
010812,2021-10-20,3.419,0.1843473738949558,6,4,48.21,-0.0118,,无信号,-0.011197718631178737,0.0005016086575021748,0.0054738227551915306,-0.01757677683533201,-0.020794091839719166
010812,2021-10-21,3.432,0.1641353583799627,7,4,50.12,-0.0038,,无信号,-0.024032634032634073,-0.006841491841491833,-0.019370629370629406,-0.020442890442890424,-0.01869463869463874
010812,2022-02-16,2.954,0.13688673531193216,3,3,45.19,-0.0027,,无信号,0.00835815842924846,-0.0007819905213270768,0.021222071767095382,0.03494583615436692,-0.02971225457007461
010812,2022-02-17,3.023,0.13688673531193216,4,4,52.17,-0.0234,,无信号,-0.019300363876943546,-0.025254713860403618,-0.016323188885213363,-0.006323188885213366,-0.04072609990076086
010812,2022-04-29,2.536,0.20926243567752997,3,3,45.87,-0.0355,,无信号,-0.011056782334384941,-0.027223974763406995,0.013785488958990517,0.037586750788643576,0.058091482649842326
010812,2022-05-05,2.546,0.20871953312736,4,4,44.03,-0.0039,,无信号,-0.03306755695208163,-0.014607227022780701,0.0026747839748626767,0.04606048703849189,0.06766300078554598
010812,2022-05-11,2.609,0.19714385231626605,3,3,49.93,-0.0243,,无信号,-0.02189919509390563,-0.027648524338827106,-0.0015848984285166175,0.008031812955155159,0.06897470295132237
010812,2022-05-19,2.676,0.1820440028388928,3,3,83.42,-0.0121,,无信号,-0.0049103139013454075,-0.0299476831091181,-0.023221225710015038,0.015553064275037262,0.0805754857997009
010812,2022-05-20,2.703,0.16364296081277202,4,4,80.0,-0.0101,,无信号,-0.015739918608952932,-0.037197558268590475,-0.03312800591934885,0.039025157232704485,0.07787088420273777
010812,2022-06-07,2.825,0.07243460764587514,3,3,76.37,-0.0011,,无信号,-0.00862831858407087,-0.0029646017699115727,-0.004734513274336313,0.021194690265486666,0.08066371681415928
010812,2022-06-08,2.843,0.06642365330093143,4,4,76.82,-0.0064,,无信号,-0.029421385860007008,-0.006558213155117825,-0.01605522335561031,0.014345761519521688,0.0681621526556455
010812,2022-09-06,3.002,0.08526645768025072,3,3,36.14,-0.0187,,无信号,-0.00567288474350432,-0.011335776149233803,-0.01733177881412381,-0.04530646235842772,-0.07661892071952028
010812,2022-09-07,3.03,0.08526645768025072,4,4,35.77,-0.0093,17.0,无信号,-0.019290429042904258,-0.018630363036303523,-0.06318481848184815,-0.05351485148514845,-0.10500000000000001
010812,2022-11-03,2.762,0.0855467402552605,3,3,41.18,-0.0058,,无信号,0.012154236060825555,0.005999275887038316,-0.015,-0.0028276611151340394,-0.01984431571325124
010812,2022-11-04,2.837,0.0855467402552605,4,4,50.93,-0.0272,,无信号,-0.011827634825519951,-0.023812125484667025,-0.030156855833627122,-0.034608741628480814,-0.04976559746210794
010812,2022-11-07,2.846,0.0855467402552605,5,4,52.42,-0.0032,,无信号,-0.02413562895291646,-0.04451510892480677,-0.047326071679550274,-0.03767744202389317,-0.06016514406184119
010812,2023-01-05,2.706,0.06357956633590593,3,3,61.84,-0.0196,,无信号,-0.005761271249076159,0.0034774575018476812,-0.0016962305986696104,0.020129342202512956,0.022716186252771685
010812,2023-01-06,2.731,0.06357956633590593,4,4,69.44,-0.0092,,无信号,-0.009873672647381825,-0.009873672647381825,-0.005479677773709174,0.014040644452581488,0.002689491028927099
010812,2023-01-09,2.745,0.06357956633590593,5,4,78.39,-0.0051,,无信号,-0.010992714025501029,-0.016092896174863428,-0.008442622950819746,0.015400728597449925,0.011757741347905214
010812,2023-01-10,2.756,0.06357956633590593,6,4,82.12,-0.004,,无信号,-0.018991291727140668,-0.014637155297532534,-0.006291727140783736,0.006248185776487715,0.004796806966618337
010812,2023-01-17,2.78,0.061164333087693416,3,3,92.82,-0.0062,,无信号,-0.020395683453237296,-0.013920863309352476,-0.012482014388489166,-0.01579136690647475,-0.026582733812949504
010812,2023-03-31,2.576,0.07669724770642204,3,3,42.21,-0.013,,无信号,-0.002577639751552783,-0.0072360248447204895,-0.008788819875776392,-0.0073291925465839396,0.006645962732919178
010812,2023-04-03,2.608,0.07500000000000007,4,4,54.0,-0.0124,,无信号,-0.020368098159509292,-0.006564417177914188,-0.020751533742331334,-0.012668711656441725,-0.01726993865030676
010812,2023-08-30,2.384,0.07916833266693321,3,3,38.31,-0.0042,,无信号,-0.02087248322147642,-0.0066107382550335495,-0.017936241610738302,-0.03184563758389264,-0.03687919463087251
010812,2023-10-26,2.184,0.08124202467035298,3,3,22.27,-0.0028,,无信号,0.0023992673992673137,0.01109890109890107,0.004688644688644553,0.043534798534798476,0.030714285714285642
010812,2023-10-27,2.222,0.08124202467035298,4,4,34.12,-0.0174,,无信号,-0.0019486948694869867,-0.00554905490549059,-0.0005985598559855847,0.019752475247524822,0.00400090009000901
010812,2023-10-30,2.251,0.08124202467035298,5,4,44.62,-0.0131,,无信号,-0.019442470013327315,-0.025661928031985793,0.010322079075966214,0.0052176810306531025,-0.008553976010661931
010812,2023-12-29,2.188,0.07205623901581709,3,3,42.48,-0.0148,16.0,无信号,-0.015,-0.04013711151736753,-0.06298903107861059,-0.0698994515539307,-0.10500000000000001
010812,2024-01-25,2.056,0.10009140767824501,3,3,45.74,-0.0193,,无信号,-0.022295719844358037,-0.05439688715953305,-0.05974708171206229,-0.004513618677042855,0.05531128404669266
010812,2024-02-08,2.057,0.11517367458866554,3,3,54.61,-0.0103,,无信号,0.007848808945065705,0.014168692270296577,0.026322314049586765,0.054795819154108034,0.0897982498784637
010812,2024-02-19,2.104,0.11517367458866554,4,4,67.0,-0.0228,,无信号,-0.012148288973384134,0.0006844106463877939,-0.0045437262357415405,0.037300380228136865,0.07912547528517111
010812,2024-02-20,2.11,0.10287303058387395,5,4,65.53,-0.0029,,无信号,-0.011682464454976248,0.00016587677725119973,0.012488151658767904,0.03528436018957345,0.0651421800947868
010812,2024-02-21,2.117,0.09235818096577593,6,4,63.81,-0.0033,,无信号,-0.005552668871043921,-0.010748700991969817,-0.014055266887104286,0.032316957959376565,0.06396551724137926
010812,2024-02-22,2.137,0.08506616257088855,7,4,61.81,-0.0094,,无信号,-0.012660271408516662,-0.0004936827328029299,-0.0009616284510997625,0.016993448759943918,0.05396116050538133
010812,2024-02-23,2.142,0.07057129140662517,8,4,65.17,-0.0023,,无信号,-0.022469654528478065,-0.025737628384687062,0.002740429505135509,0.030480859010270808,0.044486461251167286
010812,2024-10-22,2.552,0.10014836795252226,3,3,68.02,-0.0075,,无信号,-0.016567398119122258,-0.016567398119122258,-0.027147335423197548,0.010282131661442064,-0.019498432601880847
010812,2024-12-12,2.598,0.07232109049602417,3,3,72.54,-0.0121,,无信号,-0.03155119322555801,-0.03501539645881449,-0.018849114703618084,0.013475750577367222,-0.04964973056197061
010812,2024-12-20,2.596,0.07232109049602417,3,3,63.23,-0.0031,,无信号,-0.017311248073960027,-0.008451463790446877,-0.002673343605546984,-0.050069337442218795,-0.015785824345146388
