基金代码,基金名称,基金管理人,基金经理,成立日期,基金托管人,更新时间
011609,易方达上证科创50联接C,N/A,林伟斌,N/A,N/A,2025-11-07 18:36:02
007665,永赢创业板指数发起式C,N/A,刘庭宇,N/A,N/A,2025-11-07 18:36:02
012734,易方达中证人工智能主题ETF联接C,N/A,张湛,N/A,N/A,2025-11-07 18:36:02
007029,易方达中证500ETF联接发起式C,N/A,余海燕,N/A,N/A,2025-11-07 18:36:02
011965,泰康中证500ETF联接C,N/A,魏军,N/A,N/A,2025-11-07 18:36:02
008001,鹏华中证500ETF联接C,N/A,陈龙,N/A,N/A,2025-11-07 18:36:03
013277,富国创业板ETF联接C,N/A,曹璐迪,N/A,N/A,2025-11-07 18:36:03
011613,华夏科创50ETF联接C,N/A,荣膺,N/A,N/A,2025-11-07 18:36:03
004744,易方达创业板ETF联接C,N/A,成曦,N/A,N/A,2025-11-07 18:36:03
001593,天弘创业板ETF联接C,N/A,林心龙,N/A,N/A,2025-11-07 18:36:03
012718,易方达中证科技50ETF联接C,N/A,张湛,N/A,N/A,2025-11-07 18:36:04
070039,嘉实中证500ETF联接C,N/A,何如,N/A,N/A,2025-11-07 18:36:05
006382,华夏中证500ETF联接C,N/A,荣膺,N/A,N/A,2025-11-07 18:36:05
013305,易方达中证科创创业50联接C,N/A,伍臣东,N/A,N/A,2025-11-07 18:36:04
004348,南方中证500ETF联接,N/A,罗文杰,N/A,N/A,2025-11-07 18:36:05
014662,天弘上海金ETF发起联接C,N/A,沙川,N/A,N/A,2025-11-07 18:36:06
012899,兴银中证科创创业50指数C,N/A,林学晨,N/A,N/A,2025-11-07 18:36:06
006215,平安500ETF联接C,N/A,李严,N/A,N/A,2025-11-07 18:36:06
011036,嘉实中证稀土产业ETF联接C,N/A,田光远,N/A,N/A,2025-11-07 18:36:06
013894,国联安上证科创50ETF联接C,N/A,黄欣,N/A,N/A,2025-11-07 18:36:06
007223,工银中证500ETF联接C,N/A,刘子豪,N/A,N/A,2025-11-07 18:36:07
007816,嘉实新兴科技100ETF联接C,N/A,尚可,N/A,N/A,2025-11-07 18:36:07
014777,富国中证芯片产业ETF发起式联接C,N/A,张圣贤,N/A,N/A,2025-11-07 18:36:07
012553,天弘芯片产业ETF联接C,N/A,洪明华,N/A,N/A,2025-11-07 18:36:07
005919,天弘中证500ETF联接C,N/A,陈瑶,N/A,N/A,2025-11-07 18:36:07
501037,汇添富中证500ETF联接,N/A,吴振翔,N/A,N/A,2025-11-07 18:36:08
012551,华宝中证电子50ETF联接C,N/A,蒋俊阳,N/A,N/A,2025-11-07 18:36:08
001618,天弘中证电子ETF联接C,N/A,洪明华,N/A,N/A,2025-11-07 18:36:08
011317,天弘创业板300ETF发起式联接C,N/A,陈瑶,N/A,N/A,2025-11-07 18:36:08
010956,天弘中证智能汽车指数发起式C,N/A,祁世超,N/A,N/A,2025-11-07 18:36:08
012970,鹏华国证半导体芯片ETF联接C,N/A,罗英宇,N/A,N/A,2025-11-07 18:36:09
011840,天弘中证人工智能C,N/A,祁世超,N/A,N/A,2025-11-07 18:36:09
002974,广发信息技术联接C,N/A,霍华明,N/A,N/A,2025-11-07 18:36:09
015877,富国中证消费电子主题ETF发起式...,N/A,张圣贤,N/A,N/A,2025-11-07 18:36:10
008327,东财通信C,N/A,姚楠燕,N/A,N/A,2025-11-07 18:36:10
160424,华安创业板50ETF联接C,N/A,许之彦,N/A,N/A,2025-11-07 18:36:11
011611,华泰柏瑞上证科创板50成份ETF联接C,N/A,柳军,N/A,N/A,2025-11-07 18:36:11
013316,嘉实中证科创创业50ETF发起联接C,N/A,李直,N/A,N/A,2025-11-07 18:36:11
007301,国联安中证半导体ETF联接C,N/A,黄欣,N/A,N/A,2025-11-07 18:36:11
015337,嘉实中证芯片产业指数发起式C,N/A,田光远,N/A,N/A,2025-11-07 18:36:11
015600,国泰创业板指数,N/A,吴中昊,N/A,N/A,2025-11-07 18:36:12
008400,华泰柏瑞中证科技ETF联接C,N/A,胡亦清,N/A,N/A,2025-11-07 18:36:12
014332,华泰柏瑞中证稀土产业ETF发起式...,N/A,谭弘翔,N/A,N/A,2025-11-07 18:36:12
014544,汇添富中证沪港深云计算产业ETF...,N/A,乐无穹,N/A,N/A,2025-11-07 18:36:12
007984,申万菱信中证研发创新100ETF联接C,N/A,王赟杰,N/A,N/A,2025-11-07 18:36:12
008888,华夏国证半导体芯片ETF联接C,N/A,赵宗庭,N/A,N/A,2025-11-07 18:36:13
006910,华夏战略新兴成指ETF联接C,N/A,鲁亚运,N/A,N/A,2025-11-07 18:36:13
012630,广发国证半导体芯片ETF联接C,N/A,曹世宇,N/A,N/A,2025-11-07 18:36:13
012555,西部利得创业板大盘ETF联接C,N/A,童国林,N/A,N/A,2025-11-07 18:36:13
013318,华宝中证科创创业50ETF联接C,N/A,胡洁,N/A,N/A,2025-11-07 18:36:14
012838,华安CES半导体芯片行业指数发起C,N/A,刘璇子,N/A,N/A,2025-11-07 18:36:14
010524,银华中证5G通信主题ETF联接C,N/A,马君,N/A,N/A,2025-11-07 18:36:15
013811,广发科创板50ETF发起联接C,N/A,陆志明,N/A,N/A,2025-11-07 18:36:15
010531,申万中证申万电子行业投资指数,N/A,王赟杰,N/A,N/A,2025-11-07 18:36:15
013299,南方中证科创创业50ETF联接C,N/A,崔蕾,N/A,N/A,2025-11-07 18:36:15
014855,嘉实中证半导体指数增强发起式C,N/A,刘斌,N/A,N/A,2025-11-07 18:36:16
015577,国联安上证商品ETF联接C,N/A,黄欣,N/A,N/A,2025-11-07 18:36:16
008987,广发上海金ETF联接C,N/A,姚曦,N/A,N/A,2025-11-07 18:36:16
015895,平安中证消费电子主题ETF发起式...,N/A,刘洁倩,N/A,N/A,2025-11-07 18:36:16
015788,鹏扬中证数字经济主题ETF发起联接C,N/A,施红俊,N/A,N/A,2025-11-07 18:36:16
005727,嘉实中创400ETF联接C,N/A,张超梁,N/A,N/A,2025-11-07 18:36:17
012908,鹏扬中证科创创业50ETF联接C,N/A,施红俊,N/A,N/A,2025-11-07 18:36:17
015795,天弘创业板指数增强C,N/A,杨超,N/A,N/A,2025-11-07 18:36:17
013303,招商中证科创创业50ETF联接C,N/A,房俊一,N/A,N/A,2025-11-07 18:36:17
007874,华宝科技ETF联接C,N/A,胡洁,N/A,N/A,2025-11-07 18:36:17
004433,南方中证申万有色金属ETF发起联接C,N/A,崔蕾,N/A,N/A,2025-11-07 18:36:18
012809,鹏华中证沪港深科技龙头指数,N/A,钟成亮,N/A,N/A,2025-11-07 18:36:18
006938,鹏华中证500指数,N/A,余展昌,N/A,N/A,2025-11-07 18:36:18
012040,鹏华中证信息技术指数,N/A,罗英宇,N/A,N/A,2025-11-07 18:36:19
012808,鹏华中证A股资源产业指数,N/A,闫冬,N/A,N/A,2025-11-07 18:36:19
014173,富国中证移动互联网指数,N/A,牛志冬,N/A,N/A,2025-11-07 18:36:20
013331,富国中证1000指数增强,N/A,徐幼华,N/A,N/A,2025-11-07 18:36:20
014345,鹏华中证500指数增强C,N/A,苏俊杰,N/A,N/A,2025-11-07 18:36:20
009239,融通人工智能指数,N/A,何天翔,N/A,N/A,2025-11-07 18:36:21
015508,兴业中证500指数增强C,N/A,楼华锋,N/A,N/A,2025-11-07 18:36:21
013278,富国中证体育产业指数,N/A,张圣贤,N/A,N/A,2025-11-07 18:36:21
014172,富国中证工业4.0指数,N/A,张圣贤,N/A,N/A,2025-11-07 18:36:21
014985,华安创业板50指数C,N/A,刘璇子,N/A,N/A,2025-11-07 18:36:22
015596,国泰国证有色金属行业指数,N/A,吴中昊,N/A,N/A,2025-11-07 18:36:22
013292,富国中证智能汽车,N/A,张圣贤,N/A,N/A,2025-11-07 18:36:22
007413,长城中证500指数增强C,N/A,雷俊,N/A,N/A,2025-11-07 18:36:22
016123,华富中证科创创业50指数增强C,N/A,张娅,N/A,N/A,2025-11-07 18:36:23
015676,鹏华中证移动互联网指数,N/A,罗英宇,N/A,N/A,2025-11-07 18:36:23
015673,鹏华创业板指数,N/A,余展昌,N/A,N/A,2025-11-07 18:36:23
015677,鹏华中证一带一路主题指数,N/A,王力,N/A,N/A,2025-11-07 18:36:24
014219,汇添富中证科创创业50指数增强发...,N/A,赖中立,N/A,N/A,2025-11-07 18:36:24
005795,博时中证500指数增强C,N/A,刘钊,N/A,N/A,2025-11-07 18:36:25
005627,富国中证高端制造指数增强型,N/A,牛志冬,N/A,N/A,2025-11-07 18:36:25
013122,中信保诚中证TMT,N/A,黄稚,N/A,N/A,2025-11-07 18:36:25
013084,中信保诚中证智能家居指数,N/A,黄稚,N/A,N/A,2025-11-07 18:36:26
014130,融通中证云计算与大数据主题指数,N/A,何天翔,N/A,N/A,2025-11-07 18:36:26
007794,申万菱信中证500指数优选增强C,N/A,刘敦,N/A,N/A,2025-11-07 18:36:26
010356,诺安创业板指数增强,N/A,梅律吾,N/A,N/A,2025-11-07 18:36:26
013081,中信保诚中证800有色指数,N/A,黄稚,N/A,N/A,2025-11-07 18:36:27
014194,汇添富中证芯片产业指数增强发起式...,N/A,马磊,N/A,N/A,2025-11-07 18:36:27
012901,招商创业板指数增强C,N/A,文雨,N/A,N/A,2025-11-07 18:36:27
015454,中欧中证500指数增强C,N/A,钱亚婷,N/A,N/A,2025-11-07 18:36:28
011833,西部利得人工智能主题指数增强C,N/A,翟梓舰,N/A,N/A,2025-11-07 18:36:28
014419,西部利得CES芯片指数增强C,N/A,盛丰衍,N/A,N/A,2025-11-07 18:36:28
010063,南方行业精选一年混合C,N/A,骆帅,N/A,N/A,2025-11-07 18:36:28
016277,网络请求失败,N/A,N/A,N/A,N/A,2025-11-07 18:36:40
