股票简称,被持股数_万,被持仓市值_万,平均占比,所属基金数目,所属基金集合
万华化学,232.52,15481.31,4.98,1,['简称缺失']
三协电机,0.02,1.39,0.0,1,['简称缺失']
东阳光,735.64,17125.7,8.54,1,['简称缺失']
中国燃气,1015.72,7086.55,7.15,1,['简称缺失']
中微公司,297.4,88919.59,9.465,2,"['简称缺失', '简称缺失']"
中芯国际,3252.15,321348.3,5.73625,8,"['简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失']"
中际旭创,594.47,229519.54,8.882222222222222,9,"['简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失']"
乐普医疗,92.49,1620.42,1.53,1,['简称缺失']
仕佳光子,688.22,49070.58,9.89,2,"['简称缺失', '简称缺失']"
信达生物,1600.13,140829.48,7.54,1,['简称缺失']
兆易创新,312.15999999999997,66583.66,9.636666666666667,3,"['简称缺失', '简称缺失', '简称缺失']"
兴业银锡,1982.5300000000002,65205.32,9.57,2,"['简称缺失', '简称缺失']"
兴齐眼药,0.01,0.92,0.0,1,['简称缺失']
分众传媒,3828.53,30857.93,4.71,1,['简称缺失']
北方华创,0.8500000000000001,384.51,0.015,2,"['简称缺失', '简称缺失']"
北方稀土,1.81,41.01,0.03,1,['简称缺失']
华勤技术,111.86,11785.43,8.16,1,['简称缺失']
华工科技,57.95,5359.11,1.69,1,['简称缺失']
华海清科,284.01000000000005,46918.01,4.805,2,"['简称缺失', '简称缺失']"
华电新能,25.46,134.15,0.06,1,['简称缺失']
吉利汽车,1054.7,18825.09,6.57,1,['简称缺失']
奥美森,0.06,0.5,0.0,2,"['简称缺失', '简称缺失']"
宁德时代,836.36,336217.13,7.458461538461538,13,"['简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失']"
安集科技,126.89,28985.93,8.22,1,['简称缺失']
寒武纪,1.8199999999999998,2409.25,0.185,2,"['简称缺失', '简称缺失']"
山东黄金,572.21,22504.91,9.87,1,['简称缺失']
工业富联,1092.5500000000002,72097.7,6.395,4,"['简称缺失', '简称缺失', '简称缺失', '简称缺失']"
平安电工,0.02,0.42,0.0,1,['简称缺失']
康方生物,152.07,19603.26,8.69,1,['简称缺失']
恒为科技,2.07,73.44,0.03,1,['简称缺失']
恒玄科技,52.120000000000005,15504.64,3.3066666666666666,3,"['简称缺失', '简称缺失', '简称缺失']"
拓普集团,363.46000000000004,29437.18,6.935,2,"['简称缺失', '简称缺失']"
拓荆科技,209.32,53426.22,9.69,1,['简称缺失']
新易盛,1490.44,545153.19,8.66375,16,"['简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失']"
智飞生物,0.27,9.01,0.0,1,['简称缺失']
杰普特,284.91,40277.06,8.48,1,['简称缺失']
杰瑞股份,19.4,1080.58,1.07,1,['简称缺失']
横店东磁,623.85,12782.75,2.01,1,['简称缺失']
歌尔股份,247.15,9268.05,5.84,1,['简称缺失']
江波龙,120.0,21363.6,5.98,1,['简称缺失']
沪电股份,601.57,44197.37,9.85,1,['简称缺失']
泡泡玛特,475.14,115736.06,8.12,1,['简称缺失']
洛阳钼业,1699.9,26113.670000000002,5.97,3,"['简称缺失', '简称缺失', '简称缺失']"
浙江荣泰,169.17,19045.27,8.469999999999999,2,"['简称缺失', '简称缺失']"
海光信息,231.7,58527.39,7.79,3,"['简称缺失', '简称缺失', '简称缺失']"
海目星,5.02,211.09,8.42,1,['简称缺失']
深南电路,187.84,40693.7,9.39,1,['简称缺失']
湖北宜化,110.99,1633.77,0.99,1,['简称缺失']
源杰科技,95.47,40956.880000000005,9.92,2,"['简称缺失', '简称缺失']"
潮宏基,634.5,9067.01,5.0,1,['简称缺失']
澜起科技,183.36,28382.77,6.655,2,"['简称缺失', '简称缺失']"
灿芯股份,127.64,13004.1,9.02,1,['简称缺失']
爱旭股份,3037.59,49733.35,7.48,1,['简称缺失']
牧原股份,1142.46,60550.26,10.07,1,['简称缺失']
环旭电子,1444.14,31583.29,7.9,1,['简称缺失']
瑞芯微,77.41,17459.89,1.6733333333333331,3,"['简称缺失', '简称缺失', '简称缺失']"
睿创微纳,131.96,11670.49,6.54,1,['简称缺失']
立讯精密,379.28999999999996,24536.420000000002,4.745,2,"['简称缺失', '简称缺失']"
紫光国微,0.24,31.64,0.04,1,['简称缺失']
紫江企业,248.54,1839.2,0.83,1,['简称缺失']
紫金矿业,8241.91,242727.04,6.685,6,"['简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失']"
聚和材料,341.36,27971.13,9.77,1,['简称缺失']
胜宏科技,480.56000000000006,137199.9,3.6950000000000003,6,"['简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失']"
腾讯控股,116.7,70637.38,8.98,1,['简称缺失']
英维克,1612.67,128981.64,9.75,1,['简称缺失']
药明合联,246.1,17592.79,9.85,1,['简称缺失']
西部矿业,102.26,2249.72,1.52,1,['简称缺失']
豪威集团,540.47,81703.58,9.315,2,"['简称缺失', '简称缺失']"
贵州茅台,13.6,19638.26,9.26,1,['简称缺失']
赢时胜,0.48,5.38,0.03,1,['简称缺失']
通富微电,19.61,787.73,1.28,1,['简称缺失']
金风科技,270.88,4055.07,4.4,1,['简称缺失']
阿里巴巴-W,1625.3899999999999,262660.0,8.498571428571429,7,"['简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失', '简称缺失']"
顺丰控股,442.69,17853.73,8.85,1,['简称缺失']
